subject_id,left_hippo_volume,right_hippo_volume,total_hippo_volume,left_hippo_voxels,right_hippo_voxels,total_hippo_voxels,voxel_volume,intensity_mean,intensity_median,intensity_std,intensity_min,intensity_max,bayesian_prob_mean,bayesian_prob_std,asymmetry_ratio
OAS1_0180_MR1,3137.0,3004.0,6141.0,3137,3004,6141,1.0,66.85686370297996,67.0,10.350927522164978,33.0,120.0,0.7177049255713261,0.2807104895671734,0.021657710470607393
OAS1_0370_MR1,4080.0,4679.0,8759.0,4080,4679,8759,1.0,68.12124671766183,68.0,10.090000498345358,17.0,107.0,0.731839099540118,0.27698684361366466,0.06838680214636374
OAS1_0443_MR1,3875.0,3923.0,7798.0,3875,3923,7798,1.0,70.09040779687099,69.0,9.210688718900554,31.0,117.0,0.7139489897229662,0.27197427330138285,0.00615542446781226
OAS1_0197_MR1,3381.0,3593.0,6974.0,3381,3593,6974,1.0,69.25953541726412,70.0,10.064320252331505,24.0,101.0,0.7238810941586917,0.2816796770302798,0.030398623458560366
OAS1_0116_MR1,3948.0,3846.0,7794.0,3948,3846,7794,1.0,68.39979471388247,68.0,9.859548956665645,26.0,133.0,0.7249933606471959,0.2777092772641317,0.01308698999230177
OAS1_0012_MR1,4072.0,4324.0,8396.0,4072,4324,8396,1.0,68.57432110528823,68.0,8.578412692331257,27.0,99.0,0.7199696196280039,0.2829155641866141,0.03001429252024774
OAS1_0310_MR1,3766.0,3661.0,7427.0,3766,3661,7427,1.0,68.98599703783492,68.0,8.085134589596413,40.0,108.0,0.7232935559621366,0.27988660132148097,0.01413760603204524
OAS1_0227_MR1,3612.0,3609.0,7221.0,3612,3609,7221,1.0,65.76291372386096,65.0,8.182993198665928,29.0,117.0,0.7296030702183197,0.2794827625645163,0.0004154549231408392
OAS1_0419_MR1,4019.0,3894.0,7913.0,4019,3894,7913,1.0,68.85694426892455,68.0,8.643244871271852,32.0,105.0,0.7119822591015664,0.2762476946382375,0.015796790092253255
OAS1_0114_MR1,3888.0,4025.0,7913.0,3888,4025,7913,1.0,70.87830152912927,70.0,9.590634018858136,33.0,147.0,0.7165756112144807,0.2676483947059773,0.017313281941109565
OAS1_0078_MR1,3637.0,3881.0,7518.0,3637,3881,7518,1.0,70.18183027400904,70.0,8.54559495521083,34.0,108.0,0.7148687481257895,0.28108213608899896,0.03245544027666933
OAS1_0136_MR1,3561.0,3598.0,7159.0,3561,3598,7159,1.0,67.91982120407879,67.0,8.309742458066552,33.0,122.0,0.7283379057080345,0.2778719645250999,0.0051683195977091775
OAS1_0246_MR1,3703.0,3713.0,7416.0,3703,3713,7416,1.0,67.65614886731392,67.0,8.96806917794614,27.0,111.0,0.7278889928272408,0.2832698934440984,0.001348435814455232
OAS1_0010_MR1,2809.0,2975.0,5784.0,2809,2975,5784,1.0,67.30186721991701,68.0,10.093314103794672,15.0,98.0,0.7251626950883635,0.28851356206104456,0.028699861687413553
OAS1_0094_MR1,3537.0,3726.0,7263.0,3537,3726,7263,1.0,72.22084538069669,72.0,8.568694192933798,36.0,109.0,0.7246024711389536,0.28432434260396716,0.026022304832713755
OAS1_0278_MR1,2700.0,3047.0,5747.0,2700,3047,5747,1.0,66.48703671480773,67.0,10.519975151787781,26.0,101.0,0.7298910279069022,0.2879559604338362,0.060379328345223596
OAS1_0059_MR1,3835.0,3953.0,7788.0,3835,3953,7788,1.0,68.97329224447869,68.0,8.91276593479719,30.0,103.0,0.716861334244361,0.2808302033466286,0.015151515151515152
OAS1_0132_MR1,4548.0,4664.0,9212.0,4548,4664,9212,1.0,69.44561441597915,68.0,8.932332051937069,28.0,133.0,0.7233264323307288,0.26706525766746264,0.012592270950933565
OAS1_0340_MR1,4304.0,4479.0,8783.0,4304,4479,8783,1.0,69.11089604918592,68.0,8.821080007189376,27.0,145.0,0.7334479846003311,0.27123315015782923,0.0199248548332005
OAS1_0019_MR1,3358.0,3589.0,6947.0,3358,3589,6947,1.0,66.58298546135022,67.0,10.939032457411129,22.0,107.0,0.7216898468761423,0.2838381392987279,0.0332517633510868
OAS1_0102_MR1,4234.0,4200.0,8434.0,4234,4200,8434,1.0,67.89874318235712,67.0,8.090837194720297,26.0,102.0,0.7253463315885168,0.28133181523687756,0.004031301873369694
OAS1_0429_MR1,3831.0,3928.0,7759.0,3831,3928,7759,1.0,67.71748936718649,67.0,10.114773347063487,16.0,113.0,0.7251606579821291,0.2763774844543246,0.01250161103234953
OAS1_0162_MR1,3763.0,3894.0,7657.0,3763,3894,7657,1.0,67.89094945801227,67.0,8.01273916164706,33.0,101.0,0.7276466776544896,0.2816643057402649,0.017108528144181793
OAS1_0096_MR1,3486.0,3609.0,7095.0,3486,3609,7095,1.0,69.32797744890769,68.0,8.145711388247996,27.0,130.0,0.7390978892878779,0.2712609395310961,0.01733615221987315
OAS1_0181_MR1,3476.0,3567.0,7043.0,3476,3567,7043,1.0,71.01789010364901,71.0,9.79642093342137,27.0,120.0,0.7166676640102474,0.2777926157549632,0.012920630413176204
OAS1_0295_MR1,3637.0,3527.0,7164.0,3637,3527,7164,1.0,69.10008375209381,68.0,8.714300548648204,36.0,102.0,0.7092839844998131,0.28004882289462535,0.015354550530429927
OAS1_0101_MR1,4659.0,4740.0,9399.0,4659,4740,9399,1.0,69.86126183636557,69.0,9.471855293993588,35.0,118.0,0.7168488706381797,0.2747474290594155,0.008617938078518992
OAS1_0366_MR1,4436.0,4492.0,8928.0,4436,4492,8928,1.0,71.9138664874552,71.0,9.381349482605946,34.0,108.0,0.7039771805718427,0.2726247108382282,0.0062724014336917565
OAS1_0066_MR1,3104.0,3117.0,6221.0,3104,3117,6221,1.0,67.8479344156888,67.0,9.663043028560509,29.0,136.0,0.7158105379543199,0.2775007524490436,0.002089696190323099
OAS1_0425_MR1,3624.0,3213.0,6837.0,3624,3213,6837,1.0,69.38818195114817,70.0,10.545122787901217,23.0,109.0,0.7360042899780359,0.2898789193434972,0.060114085125054846
OAS1_0255_MR1,3785.0,3480.0,7265.0,3785,3480,7265,1.0,68.2426703372333,69.0,11.156986350167296,23.0,109.0,0.7436890620043735,0.294823657623738,0.04198210598761184
OAS1_0028_MR1,3095.0,3350.0,6445.0,3095,3350,6445,1.0,68.26470131885182,69.0,9.737632003943585,29.0,102.0,0.7235579097022988,0.2789731317440176,0.0395655546935609
OAS1_0355_MR1,3432.0,3427.0,6859.0,3432,3427,6859,1.0,66.83015016766292,67.0,9.08935029634357,29.0,100.0,0.7162931293773634,0.28233577964509854,0.0007289692374981776
OAS1_0144_MR1,4577.0,4832.0,9409.0,4577,4832,9409,1.0,68.73153363800617,68.0,9.445548813437686,30.0,111.0,0.7221302000279404,0.2752555644407243,0.027101711127643747
OAS1_0040_MR1,3663.0,3775.0,7438.0,3663,3775,7438,1.0,68.68768486152192,68.0,8.58183869315777,16.0,100.0,0.7331751611671572,0.2738712919826499,0.015057811239580532
OAS1_0319_MR1,3813.0,3831.0,7644.0,3813,3831,7644,1.0,68.41627420198849,67.0,8.665369037188412,33.0,102.0,0.7158132640864021,0.2774413050833487,0.002354788069073783
OAS1_0139_MR1,3841.0,3711.0,7552.0,3841,3711,7552,1.0,68.34692796610169,68.0,9.156168100871744,27.0,111.0,0.7182945574206588,0.2803240800331826,0.017213983050847457
OAS1_0203_MR1,4109.0,4005.0,8114.0,4109,4005,8114,1.0,70.90054227261523,71.0,9.103604489013327,32.0,102.0,0.7196723631871993,0.28317704534797716,0.012817352723687454
OAS1_0145_MR1,4268.0,4401.0,8669.0,4268,4401,8669,1.0,66.14142346291383,65.0,10.252553229035577,21.0,154.0,0.7284704769597852,0.2699130295462657,0.015342023301418848
OAS1_0115_MR1,3119.0,3327.0,6446.0,3119,3327,6446,1.0,69.05072913434688,70.0,11.29944171705565,16.0,103.0,0.7401039552854224,0.28388583851343485,0.032268073223704626
OAS1_0113_MR1,3680.0,3899.0,7579.0,3680,3899,7579,1.0,68.34028235915028,68.0,10.067272151406806,27.0,106.0,0.7223567378451142,0.2842851230146234,0.028895632669217575
OAS1_0441_MR1,3978.0,4468.0,8446.0,3978,4468,8446,1.0,68.87189201989108,70.0,11.146110475471428,16.0,100.0,0.7290608003710465,0.28323032832998435,0.05801562869997632
OAS1_0396_MR1,4871.0,5155.0,10026.0,4871,5155,10026,1.0,68.63953720327149,68.0,9.031735210848094,34.0,109.0,0.7183715873780164,0.275429627494424,0.028326351486136048
OAS1_0254_MR1,2976.0,2972.0,5948.0,2976,2972,5948,1.0,65.52572293207801,67.0,10.777578474746516,17.0,95.0,0.725021152143428,0.2812319467210621,0.0006724949562878278
OAS1_0027_MR1,3394.0,3388.0,6782.0,3394,3388,6782,1.0,68.17885579475082,67.0,9.588696037611454,23.0,131.0,0.7410476372483932,0.2746617830251739,0.0008846947803007962
OAS1_0119_MR1,4103.0,4401.0,8504.0,4103,4401,8504,1.0,66.5637347130762,66.0,8.9767092788053,33.0,130.0,0.7213880134186008,0.2784862682436193,0.03504233301975541
OAS1_0087_MR1,4095.0,4171.0,8266.0,4095,4171,8266,1.0,67.00483909992741,66.0,9.252106608988539,18.0,108.0,0.7171721521783495,0.2759809232462907,0.009194289862085652
OAS1_0433_MR1,4505.0,4520.0,9025.0,4505,4520,9025,1.0,67.79590027700831,67.0,9.841559502516807,24.0,115.0,0.7195462489368611,0.2774783950055423,0.0016620498614958448
OAS1_0263_MR1,3953.0,4136.0,8089.0,3953,4136,8089,1.0,68.70194090740512,69.0,10.719639279314373,25.0,117.0,0.7255494662728198,0.28508272908852367,0.022623315613796515
OAS1_0302_MR1,4497.0,4561.0,9058.0,4497,4561,9058,1.0,67.96389931552218,67.0,9.095292937474758,36.0,126.0,0.719517273800805,0.27742030388281197,0.007065577390152351
OAS1_0086_MR1,4146.0,4031.0,8177.0,4146,4031,8177,1.0,71.72459337165219,71.0,8.967838832968793,32.0,125.0,0.7186632361590419,0.2742423490486919,0.014063837593249359
OAS1_0315_MR1,3550.0,3390.0,6940.0,3550,3390,6940,1.0,72.08832853025936,72.0,10.088190763631621,25.0,109.0,0.7425541772546629,0.28903613258331423,0.023054755043227664
OAS1_0107_MR1,4410.0,4604.0,9014.0,4410,4604,9014,1.0,68.73086310184158,68.0,9.329323935811077,18.0,106.0,0.7125887652034149,0.2757895783792838,0.021522076769469715
OAS1_0426_MR1,3429.0,2971.0,6400.0,3429,2971,6400,1.0,69.35953125,69.0,8.43037401485091,34.0,101.0,0.7279931582963601,0.2873753430937371,0.0715625
OAS1_0346_MR1,4427.0,4413.0,8840.0,4427,4413,8840,1.0,70.57511312217194,70.0,9.286308980938864,22.0,114.0,0.7206481610182534,0.2681616580839905,0.001583710407239819
OAS1_0351_MR1,2590.0,2451.0,5041.0,2590,2451,5041,1.0,62.86788335647689,65.0,12.47605928209536,20.0,91.0,0.7246561105377222,0.2829888931789231,0.027573894068637174
